EC	Gene	Nuccore	Virus
72	U69	AF157706.1	HHV6B
73	U70	AF157706.1	HHV6B
74	U71	AF157706.1	HHV6B
75	U72	AF157706.1	HHV6B
76	U73	AF157706.1	HHV6B
77	U74	AF157706.1	HHV6B
78	U75	AF157706.1	HHV6B
79	U76	AF157706.1	HHV6B
80	U77	AF157706.1	HHV6B
81	B6	AF157706.1	HHV6B
82	B7	AF157706.1	HHV6B
83	U79	AF157706.1	HHV6B
84	U81	AF157706.1	HHV6B
85	U82	AF157706.1	HHV6B
86	U83	AF157706.1	HHV6B
87	U84	AF157706.1	HHV6B
88	U85	AF157706.1	HHV6B
89	U86	AF157706.1	HHV6B
90	U90	AF157706.1	HHV6B
91	U91	AF157706.1	HHV6B
92	B8	AF157706.1	HHV6B
93	U94	AF157706.1	HHV6B
94	U95	AF157706.1	HHV6B
95	U100	AF157706.1	HHV6B
96	B9	AF157706.1	HHV6B
97	DR1	AF157706.1	HHV6B
98	DR3	AF157706.1	HHV6B
99	B1	AF157706.1	HHV6B
100	B2	AF157706.1	HHV6B
101	DR6	AF157706.1	HHV6B
102	B3	AF157706.1	HHV6B
103	RL1	NC_006273.2	HHV5
104	RL5A	NC_006273.2	HHV5
105	RL6	NC_006273.2	HHV5
106	RL8A	NC_006273.2	HHV5
107	RL9A	NC_006273.2	HHV5
108	RL10	NC_006273.2	HHV5
109	RL11	NC_006273.2	HHV5
110	RL12	NC_006273.2	HHV5
111	RL13	NC_006273.2	HHV5
112	UL1	NC_006273.2	HHV5
113	UL2	NC_006273.2	HHV5
114	UL4	NC_006273.2	HHV5
115	UL5	NC_006273.2	HHV5
116	UL6	NC_006273.2	HHV5
117	UL8	NC_006273.2	HHV5
118	UL7	NC_006273.2	HHV5
119	UL9	NC_006273.2	HHV5
120	UL10	NC_006273.2	HHV5
121	UL11	NC_006273.2	HHV5
122	UL13	NC_006273.2	HHV5
123	UL14	NC_006273.2	HHV5
124	UL15A	NC_006273.2	HHV5
125	UL16	NC_006273.2	HHV5
126	UL17	NC_006273.2	HHV5
127	UL18	NC_006273.2	HHV5
128	UL19	NC_006273.2	HHV5
129	UL20	NC_006273.2	HHV5
130	UL21A	NC_006273.2	HHV5
131	UL22A	NC_006273.2	HHV5
132	UL23	NC_006273.2	HHV5
133	UL24	NC_006273.2	HHV5
134	UL25	NC_006273.2	HHV5
135	UL26	NC_006273.2	HHV5
136	UL27	NC_006273.2	HHV5
137	UL29	NC_006273.2	HHV5
138	UL30	NC_006273.2	HHV5
139	UL30A	NC_006273.2	HHV5
140	UL31	NC_006273.2	HHV5
141	UL32	NC_006273.2	HHV5
142	UL33	NC_006273.2	HHV5
143	UL34	NC_006273.2	HHV5
144	UL35	NC_006273.2	HHV5
145	UL36	NC_006273.2	HHV5
146	UL37	NC_006273.2	HHV5
147	UL38	NC_006273.2	HHV5
